url,name,description,adaptive_support,remote_support,duration,test_type
https://www.shl.com/products/product-catalog/view/pediatrics-new/,Pediatrics (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/pega-development-new/,Pega Development (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/perl-new/,Perl (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/petrochemical-engineering-new/,Petrochemical Engineering (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/petroleum-engineering-new/,Petroleum Engineering (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/pharmaceutical-analysis-new/,Pharmaceutical Analysis (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/pharmaceutical-chemistry-new/,Pharmaceutical Chemistry (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/pharmaceutical-science-new/,Pharmaceutical Science (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/pharmaceutics-new/,Pharmaceutics (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/pharmacology-new/,Pharmacology (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/php-new/,PHP (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/pjm-development-report/,PJM Development Report,,No,Yes,30,Competencies|Ability & Aptitude|Personality & Behavior
https://www.shl.com/products/product-catalog/view/pjm-selection-report/,PJM Selection Report,,No,Yes,30,Ability & Aptitude|Competencies|Personality & Behavior
https://www.shl.com/products/product-catalog/view/polymer-engineering-new/,Polymer Engineering (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/power-electronics-and-drives-new/,Power Electronics and Drives (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/power-system-engineering-new/,Power System Engineering (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/prism-new/,Prism (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/production-and-industrial-engineering-new/,Production and Industrial Engineering (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/production-engineering-new/,Production Engineering (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/programming-concepts/,Programming Concepts,,Yes,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/project-management-2013/,Project Management (2013),,Yes,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/proofreading-v1/,Proofreading v1,,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/python-new/,Python (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/r-programming-new/,R Programming (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/reactjs-new/,ReactJS (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/reading-comprehension-english-v1/,Reading Comprehension - English v1,,Yes,Yes,30,Ability & Aptitude
https://www.shl.com/products/product-catalog/view/reading-comprehension-spanish-v1/,Reading Comprehension - Spanish v1,,Yes,Yes,30,Ability & Aptitude
https://www.shl.com/products/product-catalog/view/reading-comprehension-v2/,Reading Comprehension v2,,Yes,Yes,30,Ability & Aptitude
https://www.shl.com/products/product-catalog/view/remoteworkq/,RemoteWorkQ,,No,Yes,30,Competencies
https://www.shl.com/products/product-catalog/view/remoteworkq-manager-report/,RemoteWorkQ Manager Report,,No,Yes,30,Competencies
https://www.shl.com/products/product-catalog/view/remoteworkq-participant-report/,RemoteWorkQ Participant Report,,No,Yes,30,Competencies
https://www.shl.com/products/product-catalog/view/restful-web-services-new/,RESTful Web Services (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/retail-sales-and-service-simulation/,Retail Sales and Service Simulation,,No,Yes,30,Biodata & Situational Judgement|Knowledge & Skills|Simulations|Ability & Aptitude
https://www.shl.com/products/product-catalog/view/reviewing-forms-us-r1/,Reviewing Forms - US (R1),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/ruby-new/,Ruby (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/ruby-on-rails-new/,Ruby on Rails (New),,No,Yes,30,Knowledge & Skills
https://www.shl.com/products/product-catalog/view/sales-and-service-phone-simulation/,Sales & Service Phone Simulation,,No,Yes,30,Simulations|Biodata & Situational Judgement
https://www.shl.com/products/product-catalog/view/sales-and-service-phone-solution/,Sales & Service Phone Solution,,No,Yes,30,Biodata & Situational Judgement|Personality & Behavior|Simulations
https://www.shl.com/products/product-catalog/view/sales-interview-guide/,Sales Interview Guide,,No,Yes,30,Personality & Behavior|Personality & Behavior
https://www.shl.com/products/product-catalog/view/sales-profiler-cards/,Sales Profiler Cards,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/sales-transformation-report-individual-contributor/,Sales Transformation 1.0 - Individual Contributor,,No,Yes,30,Personality & Behavior
https://www.shl.com/products/product-catalog/view/salestransformationreport2-0-individualcontributor/,Sales Transformation 2.0 - Individual Contributor,,No,Yes,30,Personality & Behavior
